catalog_id	fid	original_validation
Z4288913602	PC-V057-F	promiscuity
Z3410163892	PC-V058-F	promiscuity
Z2866904067	PC-V059-F	promiscuity
Z2866903452	PC-V060-F	promiscuity
Z4912376491	PC-V061-F	promiscuity
Z4494146704	PC-V062-F	promiscuity
Z3337874709	PC-V063-F	promiscuity
Z4237920684	PC-V064-F	promiscuity
Z5352235993	PC-V065-F	promiscuity
Z4225963431	PC-V066-F	promiscuity
Z4225927612	PC-V067-F	promiscuity
Z4225968968	PC-V068-F	promiscuity
Z3433407016	PC-V069-F	promiscuity
Z2866906302	PC-V4684-F	non-promiscuity
Z2866906843	PC-V4733-F	non-promiscuity
Z5392685928	PC-V4783-F	non-promiscuity
Z5282124554	PC-V4849-F	non-promiscuity
Z4912374667	PC-V4856-F	non-promiscuity
Z3038748646	PC-V5151-F	non-promiscuity
Z5282120556	PC-V5335-F	non-promiscuity
Z3337872598	PC-V5487-F	non-promiscuity
Z4289084655	PC-V5530-F	non-promiscuity
Z4912350639	PC-V5563-F	non-promiscuity
Z5392735997	PC-V5619-F	non-promiscuity
Z2866906743	PC-V5664-F	non-promiscuity
Z3038748628	PC-V5667-F	non-promiscuity
Z3026367271	PC-V001-F	lysosome
Z3337872237	PC-V002-F	lysosome
Z4473633655	PC-V003-F	lysosome
Z4293533689	PC-V004-F	lysosome
Z3026367320	PC-V005-F	lysosome
Z3026367242	PC-V006-F	lysosome
Z4288067195	PC-V007-F	lysosome
Z3026367155	PC-V008-F	lysosome
Z4294450083	PC-V009-F	lysosome
Z5355685259	PC-V010-F	lysosome
Z4288201625	PC-V011-F	lysosome
Z3026367153	PC-V012-F	lysosome
Z2902136975	PC-V013-F	lysosome
Z4262887961	PC-V014-F	lysosome
Z3410164111	PC-V015-F	lysosome
Z4225973035	PC-V016-F	lysosome
Z5353573917	PC-V017-F	ubiquitin-like
Z4912322781	PC-V018-F	ubiquitin-like
Z4289587555	PC-V019-F	ubiquitin-like
Z5392717988	PC-V020-F	ubiquitin-like
Z3433406433	PC-V021-F	ubiquitin-like
Z4225957564	PC-V022-F	ubiquitin-like
Z4590919599	PC-V023-F	ubiquitin-like
Z4494107894	PC-V024-F	ubiquitin-like
Z4288083929	PC-V025-F	ubiquitin-like
Z5392734962	PC-V026-F	ubiquitin-like
Z5392718026	PC-V027-F	ubiquitin-like
Z4912391934	PC-V028-F	ubiquitin-like
Z5376086762	PC-V029-F	ubiquitin-like
Z5282103523	PC-V030-F	ubiquitin-like
Z4494132684	PC-V031-F	ubiquitin-like
Z5355878912	PC-V032-F	ubiquitin-like
Z5260955434	PC-V033-F	ubiquitin-protease
Z3410162379	PC-V034-F	ubiquitin-protease
Z4494145874	PC-V035-F	ubiquitin-protease
Z5355684362	PC-V036-F	ubiquitin-protease
Z2866905842	PC-V037-F	ubiquitin-protease
Z4912358976	PC-V038-F	ubiquitin-protease
Z4282859726	PC-V039-F	ubiquitin-protease
Z4286989304	PC-V040-F	ubiquitin-protease
Z5282131747	PC-V041-F	ubiquitin-protease
Z3433406561	PC-V042-F	ubiquitin-protease
Z5355878941	PC-V043-F	ubiquitin-protease
Z4292532471	PC-V044-F	ubiquitin-protease
Z5282109629	PC-V045-F	ubiquitin-protease
Z5290998394	PC-V046-F	ubiquitin-protease
Z5261021130	PC-V047-F	cholesterol
Z5261021085	PC-V048-F	cholesterol
Z4291646489	PC-V049-F	cholesterol
Z4225957878	PC-V050-F	cholesterol
Z3337873926	PC-V051-F	cholesterol
Z4225933106	PC-V052-F	cholesterol
Z5392684334	PC-V053-F	cholesterol
Z4225967770	PC-V054-F	cholesterol
Z5285587953	PC-V055-F	cholesterol
Z4296209410	PC-V056-F	cholesterol